Date,Target,Sector,Country,Transaction Type,Deal Value (USD/MLNS),Investor(s),Target_symbol,Investors_symbol,Target_Name_in_API,Investors_Name_in_API
2014-09-29,"Lumara Health, Inc.",Life Science,United States,Add-on Acquisition,675,"AMAG Pharmaceuticals, Inc., 1100 Winter Street, Waltham, Massachusetts, 02451, United States, (617) 498-3300, www.amagpharma.com",,AMAG,,"AMAG Pharmaceuticals, Inc."
2014-09-29,Holiday Acquisition - 21 independent living facilities,Real Estate,United States,Divestiture,550,"Sabra Health Care REIT, Inc., 18500 Von Karman Avenue, Suite 550, Irvine, California, 92612, United States, (888) 393-8248, www.sabrahealth.com",,SBRA,,"Sabra Health Care REIT, Inc."
2014-09-24,"Civitas Therapeutics, Inc.",Life Science,United States,Add-on Acquisition,525,"Acorda Therapeutics, Inc., 420 Saw Mill River Road, Ardsley, New York, 10502, United States, (914) 347-4300, www.acorda.com",,ACOR,,"Acorda Therapeutics, Inc."
2014-09-19,Applied Medical - Angioscope,Life Science,United States,Divestiture,420,"LeMaitre Vascular, Inc., 63 Second Avenue, Burlington, Massachusetts, 01803 , United States, (781) 221-2266, www.lemaitre.com",,LMAT,,"LeMaitre Vascular, Inc."
2014-09-26,Cygnet Health Care Ltd.,Healthcare Services,United Kingdom,Add-on Acquisition,335,"Universal Health Services, Inc., Universal Corporate Center 367 South Gulph Road PO Box 61558, King of Prussia, Pennsylvania, 19406, United States, (610) 768-3300, www.uhsinc.com",,UHS,,"Universal Health Services, Inc."
2014-09-09,"Kensington Mortgage Co., Ltd.",Financial Services,United Kingdom,Divestiture,277.09,"TPG Global (PE), 301 Commerce St., Suite 3300, Fort Worth, Texas, 76102, United States, (817)871-4000, www.tpg.com\nThe Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2014-09-02,Weatherford - Pipeline & Specialty Services Business (P&SS),Energy Services and Equipment,United States,Divestiture,250,"Baker Hughes Company, 17021 Aldine Westfield Road, Houston, Texas, 77073, United States, (713) 439-8600, www.bakerhughes.com",,BKR,,Baker Hughes Company
2014-09-02,Ravenwood Energy Corp.,Oil/Gas Exploration,Canada,Add-on Acquisition,195,"Petrus Resources Ltd., 2400, 240 – 4th Avenue S.W., Calgary, Alberta, T2P 4H4, Canada, 403-984-4014, www.petrusresources.com",,PRQ.TO,,Petrus Resources Ltd.
2014-09-11,Park City Mountain Resort,Leisure,United States,Divestiture,182.5,"Vail Resorts, Inc., 390 Interlocken Crescent, Broomfield, Colorado, 80021, United States, (303) 404-1800, www.vailresorts.com",,MTN,,"Vail Resorts, Inc."
2014-09-15,SJL Holdings - WJRT-TV and WTVG-TV,Media,United States,Divestiture,128,"Gray Television, Inc., 4370 Peachtree Road, NE, Atlanta, Georgia, 30319, United States, (404) 504-9828, www.gray.tv",,GTN-A,,"Gray Television, Inc."
2014-09-16,"GrabCAD, Ltd.",Internet Software and Services,United States,Add-on Acquisition,100,"Stratasys Ltd., 7665 Commerce Way, Eden Prairie, Minnesota, 55344, United States, (952) 937-3000, www.stratasys.com",,SSYS,,Stratasys Ltd.
2014-09-20,"LipoScience, Inc.",Medical Products,United States,Add-on Acquisition,63,"Laboratory Corporation of America Holdings, 358 South Main Street, Burlington, North Carolina, 27215, United States, (336) 229-1127, www.labcorp.com",,LH,,Laboratory Corporation of America Holdings
2014-09-30,Xopenex Inhalation Solution,Medical Products,United States,Divestiture,45,"Akorn, Inc., 1925 West Field Court, Suite 300, Lake Forest, Illinois, 60045, United States, (847) 279-6100, www.akorn.com",,AKRX,,"Akorn, Inc."
2014-09-02,"Altimate Medical, Inc.",Medical Products,United States,Divestiture,23,"RockWood Equity Partners (PE), 3201 Enterprise Parkway, Suite 370, Beechwood, Ohio, 44122, United States, (216)378-1790, www.rockwoodequity.com",,SCCB,,378
2014-09-04,"BBA, Inc. (dba Meldium)",Internet Software and Services,United States,Add-on Acquisition,15,"LogMeIn, Inc., 320 Summer Street, Boston, Massachusetts, 02210, United States, (781) 638-9050, www.logmeininc.com",,LOGM,,"LogMeIn, Inc."
2014-09-30,Agreen Biotech Co. Ltd.,Life Science,China,Add-on Acquisition,3.3,"Cellular Biomedicine Group, Inc., 1345 Avenue of Americas 15th Floor, New York, New York, 10105, United States, (347) 905-5663, www.cellbiomedgroup.com",,CBMG,,"Cellular Biomedicine Group, Inc."
2014-10-02,E-Plus Group GmbH,Communications,Germany,Add-on Acquisition,9691.34,"Koninklijke KPN N.V., Wilhelminakade 123, Rotterdam, 3072 AP, Netherlands, 31 70 343 4343, www.kpn.com",,KPN.AS,,Koninklijke KPN N.V.
2014-10-13,Atlas Pipeline Partners LP,Energy Services and Equipment,United States,Merger,7700,"Targa Resources Corp., 811 Louisiana Street Suite 2100, Houston, Texas, 77002, United States, (713) 584-1000, www.targaresources.com",,TRGP,,Targa Resources Corp.
2014-10-17,URS Corp.,Construction,United States,Add-on Acquisition,6000,"AECOM, 1999 Avenue of the Stars, Suite 2600, Los Angeles, California, 90067, United States, (213) 593-8100, www.aecom.com",,0H9N.L,,AECOM
2014-10-09,"Measurement Specialties, Inc.",Test/Measurement Equipment,United States,Add-on Acquisition,1700,"TE Connectivity Ltd., Rheinstrasse 20, Schaffhausen, 8200, Switzerland, +41 52 633 66 77, www.te.com",,TEL,,TE Connectivity Ltd.
2014-10-18,Suez Canal - Project,Construction,Egypt,Divestiture,1500,"Royal Boskalis Westminster N.V., Rosmolenweg 20, Papendrecht, 3356 LK, Netherlands, +31 78 696 9000, www.boskalis.com\nVan Oord NV, Schaardijk 211, Rotterdam, 3063 NH, Netherlands, 31 88 826 0000, www.vanoord.com\nNational Marine Dredging Co., PO Box 3649, Abu Dhabi,, United Arab Emirates, +971 2 513 0000, www.nmdc.com\nJan De Nul N.V., Tragel 60, Hofstade-Aalst,, 9308, Belgium, +32 5 373 17 11",,BOKA.AS,,Royal Boskalis Westminster N.V.
2014-10-22,Independence Bank,Financial Services,United States,Add-on Acquisition,715,"Pacific Premier Bancorp, Inc. (Pacific Premier Bank), 17901 Von Karman Avenue, Suite 1200, Irvine, California, 92614, United States, (949) 864-8000, www.ppbi.com",,PPBI,,"Pacific Premier Bancorp, Inc."
2014-10-06,"Durata Therapeutics, Inc.",Life Science,United States,Add-on Acquisition,675,"Allergan plc, Morris Corporate Center III, 400 Interpace Parkway, Parsippany, New Jersey, 07054, United States, (862) 261-7000, www.allergan.com",,AGN,,Allergan plc
2014-10-02,Clear2Pay NV/SA,Software,Belgium,Add-on Acquisition,493,"Fidelity National Information Services, Inc., 601 Riverside Avenue, Jacksonville, Florida, 32204, United States, (904) 438-6000, www.fisglobal.com",,FIS,,"Fidelity National Information Services, Inc."
2014-10-27,Eli Lilly & Co. - Sentinel and Spectrum Brands,Life Science,United States,Divestiture,410,"Virbac SA, 13e rue LID - BP 27, Carros, 06511, France, +33 4 92 08 71 00, www.virbac.com",,VIRP.PA,,Virbac SA
2014-10-29,ESB Financial Corp.,Financial Services,United States,Merger,352.7,"WesBanco, Inc., 1 Bank Plaza, Wheeling, West Virginia, 26003, United States, (304) 234-9000, www.wesbanco.com",,WSBC,,"WesBanco, Inc."
2014-10-22,Gorkana Group,Business Services,United Kingdom,Add-on Acquisition,307.88,"Cision Ltd., 130 East Randolph Street 7th Floor, Chicago, Illinois, 60601, United States, (866) 639-5087, www.cision.com",,CISN,,Cision Ltd.
2014-10-29,"Topera, Inc.",Medical Products,United States,Add-on Acquisition,250,"Abbott Laboratories, Inc., 100 Abbott Park Road, Abbott Park, Illinois, 60064, United States, (224) 667-6100, www.abbott.com",,ABT,,Abbott Laboratories
2014-10-01,"Medical Action Industries, Inc.",Medical Products,United States,Add-on Acquisition,207,"Owens & Minor, Inc., Post Office Box 27626, Richmond, Virginia, 23116, United States, (804) 723-7000, www.owens-minor.com",,OMI,,"Owens & Minor, Inc."
2014-10-20,"WesTower Communications, Inc.",Communications,United States,Divestiture,199,"MasTec, Inc., 800 South Douglas Road, Coral Gables, Florida, 33134, United States, (305) 599-1800, www.mastec.com",,MTZ,,"MasTec, Inc."
2014-10-03,Doral Financial - Portfolio of Residential Mortgage Loans,Financial Services,United States,Divestiture,192.7,"First BanCorp., First Federal Building, 1519 Ponce de Le, Santurce, 00908, Puerto Rico, (787) 760-8200, www.firstbankpr.com",,FBP,,First BanCorp.
2014-10-07,Fyber GmbH,Internet Software and Services,Germany,Add-on Acquisition,190,"Fyber N.V., Wallstrasse 9-13, Berlin, 10179, Germany, +49 30 6098555 0, www.fyber.com",,FBEN.DE,,Fyber N.V.
2014-10-21,Ilovitza Project in Macedonia,Metals/Mining,Macedonia,Divestiture,175,"Royal Gold, Inc., 1144 15th Street Suite 2500, Denver, Colorado, 80202, United States, (303) 573-1660, www.royalgold.com",,RGLD,,"Royal Gold, Inc."
2014-10-02,MicroEdge LLC,Information Technology,United States,Add-on Acquisition,160,"Blackbaud, Inc., 65 Fairchild Street, Charleston, South Carolina, 29492, United States, (843) 216-6200, www.blackbaud.com",,BLKB,,"Blackbaud, Inc."
2014-10-29,"Philadelphia Financial Group, Inc.",Financial Services,United States,Divestiture,155,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2014-10-30,"Integrity Bancshares, Inc.",Financial Services,United States,Merger,155,"S&T Bancorp, Inc., 800 Philadelphia Street, Indiana, Pennsylvania, 15701, United States, (800) 325-2265, www.stbancorp.com",,STBA,,"S&T Bancorp, Inc."
2014-10-01,"Barr-Nunn Transportation, Inc.",Transportation,United States,Add-on Acquisition,112.4,"Knight-Swift Transportation Holdings Inc., 20002 North 19th Avenue, Phoenix, Arizona, 85027, United States, (602) 269-2000, www.knight-swift.com",,KNX,,Knight-Swift Transportation Holdings Inc.
2014-10-06,Grand Hotel Esplanade Berlin,Restaurants,Germany,Stake Purchase,91.28,"Host Hotels & Resorts, Inc., 4747 Bethesda Avenue Suite 1300, Bethesda, Maryland, 20817, United States, (240) 744-1000, www.hosthotels.com",,HST,,"Host Hotels & Resorts, Inc."
2014-10-27,Riverbed Technology-SteelStore Product Line,Internet Software and Services,United States,Divestiture,80,"NetApp, Inc., 1395 Crossman Avenue, Sunnyvale, California, 94089, United States, (408) 822-6000, www.netapp.com",,NTAP,,"NetApp, Inc."
2014-10-06,B2 Miami Downtown,Restaurants,United States,Add-on Acquisition,57.5,"Host Hotels & Resorts, Inc., 4747 Bethesda Avenue Suite 1300, Bethesda, Maryland, 20817, United States, (240) 744-1000, www.hosthotels.com",,HST,,"Host Hotels & Resorts, Inc."
2014-10-30,"Overland Solutions, Inc.",Business Services,United States,Add-on Acquisition,53,"ExlService Holdings, Inc., 320 Park Avenue 29th Floor, New York, New York, 10022, United States, (212) 277-7100, www.exlservice.com",,EXLS,,"ExlService Holdings, Inc."
2014-10-07,"Evolv, Inc.",Software,United States,Add-on Acquisition,42.5,"Cornerstone OnDemand, Inc., 1601 Cloverfield Blvd, Suite 600 South, Santa Monica, California, 90404, United States, (310) 752-0200, www.cornerstoneondemand.com",,CSOD,,"Cornerstone OnDemand, Inc."
2014-10-22,"Motus Therapeutics, Inc.",Life Science,United States,Divestiture,40,"Allergan plc, Morris Corporate Center III, 400 Interpace Parkway, Parsippany, New Jersey, 07054, United States, (862) 261-7000, www.allergan.com",,AGN,,Allergan plc
2014-10-23,Nexgate Corp.,Internet Software and Services,United States,Add-on Acquisition,35,"Proofpoint, Inc., 892 Ross Drive, Sunnyvale, California, 94089, United States, (408) 517-4710, www.proofpoint.com",,PFPT,,"Proofpoint, Inc."
2014-10-27,Cameleon Software SA,Internet Software and Services,France,Add-on Acquisition,27.05,"PROS Holdings, Inc., 3100 Main Street, Suite 900, Houston, Texas, 77002 , United States, (713) 335-5151, www.pros.com",,PRO,,"PROS Holdings, Inc."
2014-10-01,FluidX Ltd.,Life Science,United Kingdom,Add-on Acquisition,16,"Brooks Automation, Inc., 15 Elizabeth Drive, Chelmsford, Massachusetts, 01824, United States, (978) 262-2400, www.brooks.com",,BRKS,,"Brooks Automation, Inc."
2014-10-13,Leadtec Systems Australia Pty Ltd.,Internet Software and Services,Australia,Add-on Acquisition,14.9,"SPS Commerce, Inc., 333 South Seventh Street, Suite 1000, Minneapolis, Minnesota, 55402, United States, (612) 435-9400, www.spscommerce.com",,SPSC,,"SPS Commerce, Inc."
2014-10-21,Meridian Technique Ltd.,Business Services,United Kingdom,Add-on Acquisition,13.04,"Materialise NV, Technologielaan 15, Leuven, 3001, Belgium, +32 1 639 66 11, www.materialise.com",,MTLS,,Materialise NV
2014-10-28,Cross Healthcare - Seniors Housing Portfolio,Real Estate,United States,Divestiture,12,"CareTrust REIT, Inc., 27101 Puerta Real Suite 400, Mission Viejo, California, 92691, United States, (949) 540-2000, www.caretrustreit.com",,CTRE,,"CareTrust REIT, Inc."
2014-10-02,Internships.com,Internet Software and Services,United States,Divestiture,11,"Chegg, Inc., 3990 Freedom Circle, Santa Clara, California, 95054, United States, (408) 855-5700, www.chegg.com",,CHGG,,"Chegg, Inc."
2014-10-06,Physpeed Corp.,Semiconductors,United States,Add-on Acquisition,11,"MaxLinear, Inc., 5966 La Place Court, Suite 100, Carlsbad, California, 92008, United States, (760) 692-0711, www.maxlinear.com",,MXL,,"MaxLinear, Inc."
2014-10-01,"Triangle BioSystems, Inc.",Electrical Equipment,United States,Add-on Acquisition,1.6,"Harvard Bioscience, Inc., 84 October Hill Road, Holliston, Massachusetts, 01746, United States, (508) 893-8999, www.harvardbioscience.com",,HBIO,,"Harvard Bioscience, Inc."
2014-12-25,"Forterra, Inc.",Building Materials,United Kingdom,Divestiture,1400,"Lone Star Funds (PE), 2711 North Haskell Avenue, Suite 1700 (and Suite 2150), Dallas, Texas, 75204, United States, (214)754-8300, www.lonestarfunds.com",FRTA,,"Forterra, Inc.",
2014-12-19,"Tervita, LLC",Environmental,United States,Divestiture,485,"Republic Services, Inc., 18500 North Allied Way, Phoenix, Arizona, 85054, United States, (480) 627-2700, www.republicservices.com",,RSG,,"Republic Services, Inc."
2014-12-01,"Freightquote.com, Inc.",Internet Software and Services,United States,Add-on Acquisition,365,"C.H. Robinson Worldwide, Inc., 14701 Charlson Road, Eden Prairie, Minnesota, 55347, United States, (952) 937-8500, www.chrobinson.com",,CHRW,,"C.H. Robinson Worldwide, Inc."
2014-12-02,734 Citrus Holdings LLC,Food,United States,Add-on Acquisition,363,"Alico, Inc., 10070 Daniels Interstate Court, Suite 100, Fort Myers, Florida, 33913, United States, (239) 226-2000, www.alicoinc.com",,ALCO,,"Alico, Inc."
2014-12-16,Anheuser-Busch Glass Production Plant in Nava,Packaging,Mexico,Divestiture,300,"Constellation Brands, Inc., Building 100 207 High Point Drive, Victor, New York, 14564, United States, (585) 678-7100, www.cbrands.com\nOwens-Illinois, Inc., One Michael Owens Way, Perrysburg, Ohio, 43551, United States, (567) 336-5000, www.o-i.com",,STZ-B,,"Constellation Brands, Inc."
2014-12-03,Orange-Co. LP,Agriculture,United States,Add-on Acquisition,274,"Alico, Inc., 10070 Daniels Interstate Court, Suite 100, Fort Myers, Florida, 33913, United States, (239) 226-2000, www.alicoinc.com",,ALCO,,"Alico, Inc."
2014-12-17,Aloha Petroleum Ltd.,Retail,United States,Add-on Acquisition,240,"Sunoco LP, 8111 Westchester Drive Suite 400, Houston, Texas, 75225, United States, (214) 981-0700, www.sunocolp.com",,SUN,,Sunoco LP
2014-12-15,Kildair Service Ltd.,Oil/Gas Exploration,Canada,Divestiture,175,"Sprague Resources LP, 185 International Drive, Portsmouth, New Hampshire, 03801, United States, (800) 225-1560, www.spragueenergy.com",,SRLP,,Sprague Resources LP
2014-12-18,OncoEthix SA,Life Science,Switzerland,Add-on Acquisition,110,"Merck & Co., Inc., 2000 Galloping Hill Road, Kenilworth, New Jersey, 07033, United States, (908) 423-1000, www.merck.com",,MRK.PA,,"Merck & Co., Inc."
2014-12-31,"Henderson Products, Inc.",Machinery,United States,Add-on Acquisition,95,"Douglas Dynamics, Inc., 7777 North 73rd Street, Milwaukee, Wisconsin, 53223, United States, (414) 354-2310, www.douglasdynamics.com",,PLOW,,"Douglas Dynamics, Inc."
2014-12-22,Wireless Maingate AB,Communications,Sweden,Add-on Acquisition,90,"Sierra Wireless, Inc., 13811 Wireless Way, Richmond, British Columbia, V6V 3A4, Canada, (604) 231-1100, www.sierrawireless.com",,SW.TO,,"Sierra Wireless, Inc."
2014-12-10,"Erickson Oil Products, Inc.",Retail,United States,Add-on Acquisition,85,"CrossAmerica Partners LP, 600 Hamilton Street Suite 500, Allentown, Pennsylvania, 18101, United States, (610) 625-8000, www.crossamericapartners.com",,CAPL,,CrossAmerica Partners LP
2014-12-03,Silver Nip Citrus,Food,United States,Add-on Acquisition,72,"Alico, Inc., 10070 Daniels Interstate Court, Suite 100, Fort Myers, Florida, 33913, United States, (239) 226-2000, www.alicoinc.com",,ALCO,,"Alico, Inc."
2014-12-17,Landmark - 22 convenience stores,Retail,United States,Divestiture,63.7,"CST Brands, Inc., Building D, Suite 200, San Antonio, Texas, 78249, United States, (210) 692-5000, www.cstbrands.com\nCrossAmerica Partners LP, 600 Hamilton Street Suite 500, Allentown, Pennsylvania, 18101, United States, (610) 625-8000, www.crossamericapartners.com",,CAPL,,CrossAmerica Partners LP
2014-12-02,"Great Lakes Financial Resources, Inc.",Financial Services,United States,Add-on Acquisition,60.77,"First Midwest Bancorp, Inc., 8750 West Bryn Mawr Avenue Suite 1300, Chicago, Illinois, 60631, United States, (708) 831-7483, www.firstmidwest.com",,FMBI,,"First Midwest Bancorp, Inc."
2014-12-12,"Race Face Performance Products, Inc.",Leisure,Canada,Add-on Acquisition,40.06,"Fox Factory Holding Corp. (dba Fox Racing Shox), 6634 Highway 53, Braselton, California, 30517, United States, (831) 274-6500, www.ridefox.com",,FOXF,,Fox Factory Holding Corp.
2014-12-08,Maplecroft.Net Ltd.,Information Technology,United Kingdom,Add-on Acquisition,31.17,"Verisk Analytics, Inc., 545 Washington Boulevard, Jersey City, New Jersey, 07310, United States, (201) 469-3000, www.verisk.com",,VRSK,,"Verisk Analytics, Inc."
2014-12-22,"TLL, LLC (dba Timeline Labs)",Internet Software and Services,United States,Add-on Acquisition,22,"SeaChange International, Inc., 50 Nagog Park, Acton, Massachusetts, 01720, United States, (978) 897-0100, www.schange.com",,SEAC,,"SeaChange International, Inc."
2014-12-22,Capital Dynamics - 77.6 MW of Distributed Solar Power Plants,Renewable Energy,United States,Divestiture,21,"TerraForm Power, Inc., 200 Liberty Street 14th Floor, New York, Maryland, 10281, United States, (443) 909-7200, www.terraformpower.com",,TERP,,"TerraForm Power, Inc."
2014-12-03,Gator Grove,Real Estate,United States,Add-on Acquisition,16.6,"Alico, Inc., 10070 Daniels Interstate Court, Suite 100, Fort Myers, Florida, 33913, United States, (239) 226-2000, www.alicoinc.com",,ALCO,,"Alico, Inc."
2014-12-28,Semiconductor Business - Arkados,Semiconductors,United States,Divestiture,11,"STMicroelectronics N.V., 39, chemin du Champ des Filles, Geneva, 1228, Switzerland, +41 22 929 29 29, www.st.com",,STM.PA,,STMicroelectronics N.V.
2014-12-02,"Titan Energy Worldwide, Inc.",Electrical Equipment,United States,Add-on Acquisition,6.8,"Pioneer Power Solutions, Inc., One Parker Plaza 12th Floor 400 Kelby Street, Fort Lee, New Jersey, 07024, United States, (212) 867-0700, www.pioneerpowersolutions.com",,PPSI,,"Pioneer Power Solutions, Inc."
2015-01-22,"Cubist Pharmaceuticals, Inc.",Life Science,United States,Add-on Acquisition,9500,"Merck & Co., Inc., 2000 Galloping Hill Road, Kenilworth, New Jersey, 07033, United States, (908) 423-1000, www.merck.com",,MRK.PA,,"Merck & Co., Inc."
2015-01-22,City National Corp.,Financial Services,United States,Add-on Acquisition,5400,"Royal Bank of Canada, 200 Bay Street, Toronto, Ontario, M5J 2J5, Canada, (888) 212-5533, www.rbc.com",,RY,,Royal Bank of Canada
2015-01-29,"Auxilium Pharmaceuticals, Inc.",Life Science,United States,Add-on Acquisition,2600,"Endo International plc, Minerva House First Floor Simmonscourt Road Ballsbridge, Dublin, Ireland, 353 1 268 2000, www.endo.com",,ENDP,,Endo International plc
2015-01-14,Latisys Corp.,Information Technology,United States,Add-on Acquisition,675,"Zayo Group Holdings, Inc., 1805 29th Street, Suite 2050, Boulder, Colorado, 80301, United States, (303) 381-4683, www.zayo.com",,ZAYO,,"Zayo Group Holdings, Inc."
2015-01-26,Auden Mckenzie Holdings Ltd.,Life Science,United Kingdom,Add-on Acquisition,471.06,"Allergan plc, Morris Corporate Center III, 400 Interpace Parkway, Parsippany, New Jersey, 07054, United States, (862) 261-7000, www.allergan.com",,AGN,,Allergan plc
2015-01-06,Phenex Pharmaceuticals AG,Life Science,Germany,Add-on Acquisition,470,"Gilead Sciences, Inc., 333 Lakeside Drive, Foster City, California, 94404, United States, (650) 574-3000, www.gilead.com",,GILD,,"Gilead Sciences, Inc."
2015-01-23,Travelocity.com,Internet Software and Services,United States,Divestiture,280,"Expedia Group, Inc., 1111 Expedia Group Way West, Seattle, Washington, 98119, United States, (206) 481-7200, www.expediagroup.com",,EXPE,,"Expedia Group, Inc."
2015-01-06,Travelfusion Ltd.,Software,United Kingdom,Add-on Acquisition,160,"Trip.com Group Limited, No. 99 Fu Quan Road, Shanghai, 200335, China, 86 21 3406 4880, www.trip.com",,TCOM,,Trip.com Group Limited
2015-01-27,National Bancshares Corp.,Financial Services,United States,Add-on Acquisition,70.61,"Farmers National Banc Corp., 20 South Broad Street, Canfield, Ohio, 44406, United States, (330) 533-3341, www.farmersbankgroup.com",,FMNB,,Farmers National Banc Corp.
2015-01-30,"DivX, Inc.",Digital Media,United States,Add-on Acquisition,62.5,"NeuLion, Inc., 1600 Old Country Road, Plainview, New York, 11803, United States, (516) 622-8300, www.neulion.com",,NLN.TO,,"NeuLion, Inc."
2015-01-16,"Community Bank Corp Of Sheboygan, Inc.",Financial Services,United States,Add-on Acquisition,52,"Heartland Financial USA, Inc., 1398 Central Avenue, Dubuque, Iowa, 52001, United States, (563) 589-2100, www.htlf.com",,HTLFP,,"Heartland Financial USA, Inc."
2015-01-29,"Merchants & Southern Banks of Florida, Inc.",Financial Services,United States,Add-on Acquisition,50,"Ameris Bancorp., 3490 Piedmont Road NE, Atlanta, Georgia, 30305, United States, (404) 639-6500, www.amerisbank.com",,ABCB,,Ameris Bancorp
2015-01-07,SunEdison - 26 Megawatts Of Distributed Generation Solar Power Plants,Renewable Energy,United States,Add-on Acquisition,47,"TerraForm Power, Inc., 200 Liberty Street 14th Floor, New York, Maryland, 10281, United States, (443) 909-7200, www.terraformpower.com",,TERP,,"TerraForm Power, Inc."
2015-01-15,Rex Features Ltd.,Digital Media,United Kingdom,Add-on Acquisition,33,"Shutterstock, Inc., Empire State Building 21st Floor, New York, New York, 10118, United States, (646) 710-3417, www.shutterstock.com",,SSTK,,"Shutterstock, Inc."
2015-01-15,Arbour Interactive Inc.,Digital Media,Canada,Add-on Acquisition,32,"Shutterstock, Inc., Empire State Building 21st Floor, New York, New York, 10118, United States, (646) 710-3417, www.shutterstock.com",,SSTK,,"Shutterstock, Inc."
2015-01-30,"Ebyline, Inc.",Internet Software and Services,United States,Add-on Acquisition,8.85,"IZEA Worldwide, Inc., 480 North Orlando Avenue, Suite 200, Winter Park, Florida, 32789, United States, (407) 674-6911, www.izea.com",,IZEA,,"IZEA Worldwide, Inc."
2015-02-05,"Verizon Communications Inc. - Wireline Operations in California, Florida and Texas",Communications,United States,Divestiture,10540,"Frontier Communications Corp., 401 Merritt 7, Norwalk, Connecticut, 06851, United States, (203) 614-5600, www.frontier.com",VERIZ.BR,,Verizon Communications Inc.,
2015-02-02,"Advent Software, Inc.",Software,United States,Add-on Acquisition,2700,"SS&C Technologies Holdings, Inc., 80 Lamberton Road, Windsor, Connecticut, 06095, United States, (860) 298-4500, www.ssctech.com",,SSNC,,"SS&C Technologies Holdings, Inc."
2015-02-12,"Orbitz Worldwide, Inc.",Internet Software and Services,United States,Add-on Acquisition,1600,"Expedia Group, Inc., 1111 Expedia Group Way West, Seattle, Washington, 98119, United States, (206) 481-7200, www.expediagroup.com",,EXPE,,"Expedia Group, Inc."
2015-02-22,Home Loan Servicing Solutions Ltd.,Financial Services,Cayman Islands,Add-on Acquisition,1300,"New Residential Investment Corp., 1345 Avenue Of The Americas, 45th Floor, New York, New York, 10105, United States, (212) 479-3150, www.newresi.com",,NRZ,,New Residential Investment Corp.
2015-02-18,"Empaques Ponderosa, S.A. de C.V.",Packaging,Mexico,Divestiture,1225,"Crown Holdings, Inc., 770 Township Line Road, Yardley, Pennsylvania, 19067, United States, (215) 698-5100, www.crowncork.com",,CCK,,"Crown Holdings, Inc."
2015-02-17,Volcano Corp.,Medical Products,United States,Add-on Acquisition,1200,"Koninklijke Philips N.V., Philips Center Amstelplein 2, Amsterdam, 1096 BC, Netherlands, +31 20 597 7777, www.philips.com",,PHG,,Koninklijke Philips N.V.
2015-02-23,Polypore International - Separations Media Business,Machinery,United States,Divestiture,1000,"3M Company, 3M Center, St Paul, Minnesota, 55144, United States, (651) 733-1110, www.3m.com",,MMM,,3M Company
2015-02-28,Ixom Operations Pty Ltd.,Chemicals,Australia,Divestiture,750,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2015-02-04,MyFitnessPal,Internet Software and Services,United States,Add-on Acquisition,475,"Under Armour, Inc., 1020 Hull Street, Baltimore, Maryland, 21230, United States, (410) 454-6428, www.underarmour.com",,UA,,"Under Armour, Inc."
2015-02-05,"SoftWriters, Inc.",Software,United States,Add-on Acquisition,450,"Roper Technologies, Inc., 6901 Professional Parkway East, Suite 200, Sarasota, Florida, 34240, United States, (941) 556-2601, www.ropertech.com",,ROP,,"Roper Technologies, Inc."
2015-02-26,Healthcare Solutions,Healthcare Services,United States,Add-on Acquisition,405,"Catamaran Corp., 1600 McConnor Parkway, Schaumburg, Illinois, 60173, United States, www.catamaranrx.com",MDRX,,"Allscripts Healthcare Solutions, Inc.",
2015-02-09,Magnum NGLs LLC,Utilities,United States,Secondary Buyout,280,"NGL Energy Partners LP, 6120 South Yale Avenue, Suite 805, Tulsa, Oklahoma, 74136, United States, (918) 481-1119, www.nglenergypartners.com",,NGL,,NGL Energy Partners LP
2015-02-03,"Bluemercury, Inc.",Retail,United States,Add-on Acquisition,210,"Macy's, Inc., 151 West 34th Street, New York, New York, 10001, United States, (212) 494-1602, www.macysinc.com",,M,,"Macy's, Inc."
2015-02-11,GlycoVaxyn AG,Life Science,Switzerland,Add-on Acquisition,190,"GlaxoSmithKline plc, 980 Great West Road, Brentford, TW8 9GS, United Kingdom, +44 20 8047 5000, www.gsk.com",,GSK,,GlaxoSmithKline plc
2015-02-25,"Georgia Commerce Bancshares, Inc.",Financial Services,United States,Merger,189,"IBERIABANK Corp., 200 West Congress Street, Lafayette, Louisiana, 70501, United States, (337) 521-4003, www.iberiabank.com",CBSHP,,"Commerce Bancshares, Inc.",
2015-02-23,"Sterne Agee Group, Inc.",Financial Services,United States,Add-on Acquisition,150,"Stifel Financial Corp., One Financial Plaza 501 North Broadway, St. Louis, Missouri, 63102, United States, (314) 342-2000, www.stifel.com",,SF,,Stifel Financial Corp.
2015-02-24,Oneida Financial Corp.,Financial Services,United States,Add-on Acquisition,142,"Community Bank System, Inc., 5790 Widewaters Parkway, Dewitt, New York, 13214, United States, (315) 445-2282, www.cbna.com",,CBU,,"Community Bank System, Inc."
